Rule,Number_of_Cases,Empirical_Risk_MIMICII,Physician_Assessment,Physician_SD
'''Age(66.15(16.50-89.29));PaO2/FiO2(332.60(199.00-2304.76));Heart Rate(84.00(0.00-106.00));Glasgow Coma Scale(2.00(1.00-4.00));Ren...'' <Preview truncated at 128 characters>',8410,0.07431629,3.846153846,0.800640769
'PaO2/FiO2(332.60(224.00-955.00));Glasgow Coma Scale(5.00(5.00-5.00));Age(80.92(74.61-101.45));Renal function(0(0))',1228,0.034201954,3.384615385,0.960768923
'''Glasgow Coma Scale(2.00(1.00-4.00));Serum urea nitrogen(15.00(2.00-24.00));Age(58.76(16.83-75.15));PaO2/FiO2(332.60(212.00-1942....'' <Preview truncated at 128 characters>',3953,0.034151278,3.307692308,0.854850414
'''Heart Rate(80.00(0.00-94.00));Glasgow Coma Scale(2.00(1.00-4.00));Serum urea nitrogen(15.00(2.00-24.00));Age(62.71(17.19-83.55))...'' <Preview truncated at 128 characters>',4933,0.044192175,3.538461538,0.967417922
'PaO2/FiO2(332.60(318.57-2223.81));Glasgow Coma Scale(5.00(3.00-5.00));Age(81.22(73.77-101.45));Renal function(0(0))',2143,0.044330378,3.538461538,0.877058019
'''Heart Rate(103.00(93.00-171.00));Glasgow Coma Scale(1.00(1.00-2.00));Serum urea nitrogen(14.00(2.00-23.00));PaO2/FiO2(345.00(272...'' <Preview truncated at 128 characters>',1346,0.142644874,4.153846154,1.068188018
'K(4.20(3.70-9.80));Renal function(0(0));PaO2/FiO2(332.60(223.81-2076.19));Glasgow Coma Scale(1.00(1.00-3.00))',4944,0.07079288,3.692307692,1.250640861
'PaO2/FiO2(332.60(273.33-955.00));Glasgow Coma Scale(5.00(5.00-5.00));Age(80.18(72.97-101.45));Renal function(0(0))',1345,0.03197026,3.230769231,0.832050294
'''Glasgow Coma Scale(1.00(1.00-3.00));Age(79.61(73.77-98.73));Serum urea nitrogen(16.00(5.00-22.00));PaO2/FiO2(332.60(318.00-1880....'' <Preview truncated at 128 characters>',1370,0.160583942,4.153846154,0.898717034
'''Glasgow Coma Scale(2.00(1.00-4.00));Age(57.99(16.01-79.65));Serum urea nitrogen(14.00(2.00-19.00));PaO2/FiO2(332.60(318.00-1942....'' <Preview truncated at 128 characters>',5058,0.050019771,3.538461538,0.877058019
'''PaO2/FiO2(332.60(316.00-1942.86));Glasgow Coma Scale(2.00(1.00-4.00));Age(55.67(16.01-72.02));Serum urea nitrogen(14.00(2.00-24....'' <Preview truncated at 128 characters>',4948,0.045472918,3.461538462,0.776250026
'Age(80.14(73.77-102.18));Renal function(0(0));PaO2/FiO2(351.51(318.00-1880.95));Glasgow Coma Scale(1.00(1.00-2.00))',1276,0.173197492,4.153846154,1.28102523
"'PaO2/FiO2(144.00(16.00-314.00));Serum urea nitrogen(14.00(2.00-20.00));Renal function(0(0,1))'",2375,0.149894737,3.923076923,1.037749043
'PaO2/FiO2(99.00(11.00-187.00))',4016,0.284611554,4.384615385,1.192927878
'PaO2/FiO2(347.50(329.00-1475.00));Glasgow Coma Scale(1.00(1.00-2.00));Age(83.89(79.67-102.18));Renal function(0(0))',650,0.230769231,4.153846154,1.28102523
'''Age(56.26(16.01-73.65));Serum urea nitrogen(14.00(2.00-24.00));PaO2/FiO2(332.60(318.00-1942.86));Glasgow Coma Scale(2.00(1.00-4....'' <Preview truncated at 128 characters>',5155,0.046362755,3.384615385,0.869718493
'PaO2/FiO2(332.60(318.00-2376.19));Glasgow Coma Scale(5.00(3.00-5.00));Bilirubin(1.31(1.31-1.40))',5066,0.022700355,2.769230769,0.59914469
'Glasgow Coma Scale(2.00(1.00-3.00));K(3.40(1.60-3.60));Renal function(0(0));PaO2/FiO2(332.60(225.00-1676.19))',1177,0.132540357,3.692307692,1.109400392
'PaO2/FiO2(332.60(271.43-1594.00));Glasgow Coma Scale(2.00(1.00-4.00));Age(55.75(19.10-74.66));Bilirubin(2.60(1.40-82.80))',763,0.20576671,3.923076923,0.759554525
'Serum urea nitrogen(30.00(20.00-201.00));Glasgow Coma Scale(1.00(1.00-2.00))',4591,0.269222392,4.307692308,1.109400392
'PaO2/FiO2(332.60(318.00-334.00));Age(61.78(16.28-83.39));Bilirubin(1.00(0.00-1.40));WBC(9.10(0.10-16.20))',9346,0.033062273,2.769230769,0.59914469
'''Glasgow Coma Scale(5.00(3.00-5.00));Bilirubin(1.31(0.00-1.60));Serum urea nitrogen(15.00(2.00-26.00));PaO2/FiO2(332.60(223.00-19...'' <Preview truncated at 128 characters>',7931,0.028621864,2.692307692,0.854850414
'Age(91.49(89.30-102.18));Renal function(0(0));PaO2/FiO2(332.60(318.57-920.00))',296,0.233108108,4,1.224744871
'Glasgow Coma Scale(5.00(5.00-5.00));WBC(8.20(0.10-12.04));PaO2/FiO2(332.60(224.00-1876.19))',5483,0.028816341,2.692307692,1.031553471
'Glasgow Coma Scale(1.00(1.00-2.00));Age(80.14(73.77-102.18));Renal function(0(0));PaO2/FiO2(351.51(318.00-1880.95))',1276,0.173197492,3.846153846,1.405118847
'Age(81.14(74.80-99.60));WBC(7.30(0.40-9.50));Renal function(0(0));PaO2/FiO2(332.60(313.79-1390.00))',1485,0.060606061,3.384615385,0.960768923
